over_num,balls_left_in_over,overs_left,wickets_left,score,striker_sr,non_striker_sr,best_bowler
2,0,17,9,25,0.0,250.0,JP Faulkner
3,0,16,9,29,50.0,100.0,BCJ Cutting
4,0,15,8,30,0.0,0.0,DS Kulkarni
5,-1,14,8,34,25.0,33.33333333333333,KK Cooper
6,0,13,7,45,100.0,233.33333333333334,PV Tambe
7,-1,12,6,49,25.0,50.0,R Bhatia
8,-2,11,6,57,75.0,75.0,PV Tambe
9,0,10,5,62,100.0,0.0,R Bhatia
10,0,9,5,67,75.0,100.0,PV Tambe
11,0,8,4,76,180.0,0.0,BCJ Cutting
12,0,7,4,85,200.0,50.0,R Bhatia
13,0,6,3,90,100.0,0.0,BCJ Cutting
14,0,5,2,93,66.66666666666666,0.0,STR Binny
15,-1,4,2,99,40.0,100.0,DS Kulkarni
16,0,3,2,109,250.0,125.0,KK Cooper
17,0,2,2,120,150.0,250.0,STR Binny
18,0,1,1,126,0.0,125.0,KK Cooper
19,-1,0,1,139,183.33333333333331,100.0,DS Kulkarni
0,0,19,10,5,83.33333333333334,0.0,Mohammed Shami
1,0,18,9,11,0.0,166.66666666666669,HH Pandya
2,0,17,9,20,166.66666666666669,133.33333333333331,Mohammed Shami
3,0,16,9,25,33.33333333333333,133.33333333333331,HH Pandya
4,0,15,8,38,300.0,0.0,LH Ferguson
5,0,14,8,43,80.0,100.0,Rashid Khan
6,0,13,8,49,100.0,100.0,LH Ferguson
7,-1,12,8,60,200.0,66.66666666666666,DG Nalkande
8,0,11,8,70,100.0,233.33333333333334,Rashid Khan
9,0,10,8,86,300.0,100.0,DG Nalkande
10,0,9,7,90,0.0,100.0,Rashid Khan
11,-1,8,7,100,50.0,233.33333333333334,HH Pandya
12,0,7,7,124,366.66666666666663,433.3333333333333,R Tewatia
13,0,6,5,134,0.0,300.0,DG Nalkande
14,0,5,5,152,250.0,325.0,Mohammed Shami
15,0,4,3,155,33.33333333333333,0.0,Rashid Khan
16,-1,3,2,160,75.0,0.0,LH Ferguson
17,0,2,1,164,25.0,100.0,Mohammed Shami
18,0,1,1,173,125.0,200.0,LH Ferguson
19,0,0,1,189,300.0,200.0,HH Pandya
0,0,19,10,10,50.0,225.0,VG Arora
1,-1,18,10,24,185.71428571428572,0.0,Arshdeep Singh
2,0,17,10,31,100.0,125.0,VG Arora
3,0,16,9,37,50.0,0.0,K Rabada
4,0,15,9,45,66.66666666666666,200.0,VG Arora
5,0,14,9,53,100.0,125.0,K Rabada
6,0,13,9,66,350.0,150.0,RD Chahar
7,0,12,9,76,100.0,200.0,OF Smith
8,0,11,9,88,220.00000000000003,100.0,LS Livingstone
9,0,10,9,94,100.0,100.0,OF Smith
10,0,9,9,103,160.0,100.0,RD Chahar
11,0,8,9,110,200.0,0.0,Arshdeep Singh
12,0,7,9,119,175.0,100.0,VG Arora
13,0,6,9,128,133.33333333333331,166.66666666666669,K Rabada
14,0,5,8,134,166.66666666666669,0.0,RD Chahar
15,0,4,8,140,125.0,50.0,Arshdeep Singh
16,-1,3,8,153,100.0,180.0,RD Chahar
17,0,2,8,158,66.66666666666666,100.0,Arshdeep Singh
18,-1,1,7,171,250.0,50.0,K Rabada
19,-1,0,6,190,125.0,0.0,OF Smith
0,-1,19,10,3,0.0,0.0,P Kumar
1,0,18,10,21,300.0,0.0,Z Khan
2,0,17,10,27,0.0,250.0,P Kumar
3,-1,16,10,50,300.0,166.66666666666669,AA Noffke
4,0,15,10,60,166.66666666666669,166.66666666666669,P Kumar
5,0,14,9,61,100.0,0.0,Z Khan
6,0,13,9,68,100.0,133.33333333333331,AA Noffke
7,0,12,9,73,75.0,100.0,Z Khan
8,0,11,9,77,60.0,100.0,JH Kallis
9,0,10,9,87,100.0,200.0,SB Joshi
10,0,9,9,102,100.0,200.0,JH Kallis
11,0,8,9,112,225.0,50.0,SB Joshi
12,-1,7,8,124,0.0,183.33333333333331,JH Kallis
13,0,6,8,130,133.33333333333331,66.66666666666666,SB Joshi
14,-1,5,8,154,200.0,400.0,CL White
15,0,4,8,158,33.33333333333333,100.0,AA Noffke
16,0,3,8,172,275.0,150.0,Z Khan
17,0,2,7,179,0.0,200.0,AA Noffke
18,0,1,7,200,340.0,400.0,JH Kallis
19,0,0,7,222,366.66666666666663,0.0,P Kumar
0,-1,19,10,4,100.0,20.0,AB Dinda
1,0,18,9,9,0.0,0.0,I Sharma
2,-1,17,8,12,0.0,25.0,AB Dinda
3,0,16,8,16,75.0,0.0,I Sharma
4,0,15,7,24,175.0,100.0,AB Agarkar
5,0,14,6,26,0.0,100.0,AB Dinda
6,-2,13,6,33,33.33333333333333,80.0,AB Agarkar
7,0,12,5,38,66.66666666666666,66.66666666666666,SC Ganguly
8,-2,11,3,43,0.0,100.0,AB Agarkar
9,-1,10,3,51,200.0,0.0,SC Ganguly
10,0,9,3,56,25.0,200.0,AB Agarkar
11,0,8,2,59,100.0,50.0,SC Ganguly
12,-1,7,2,70,233.33333333333334,50.0,LR Shukla
13,0,6,1,77,0.0,150.0,SC Ganguly
14,-1,5,1,81,40.0,0.0,I Sharma
15,4,4,0,82,0.0,0.0,LR Shukla
0,0,19,10,23,433.3333333333333,333.33333333333337,VR Aaron
1,0,18,7,35,300.0,0.0,S Gopal
2,0,17,6,45,133.33333333333331,200.0,R Parag
3,0,16,5,54,100.0,160.0,JD Unadkat
4,-1,15,3,62,33.33333333333333,133.33333333333331,O Thomas
0,0,19,10,10,166.66666666666669,0.0,UT Yadav
1,0,18,10,22,220.00000000000003,100.0,Navdeep Saini
2,0,17,10,40,340.0,0.0,K Khejroliya
3,4,16,9,41,0.0,0.0,YS Chahal
0,0,19,9,5,100.0,200.0,SW Tait
1,-1,18,9,7,20.0,0.0,A Singh
2,0,17,9,16,150.0,150.0,J Botha
3,-1,16,9,23,125.0,0.0,SK Trivedi
4,0,15,8,30,125.0,100.0,SW Tait
5,0,14,8,30,0.0,0.0,A Singh
6,0,13,8,36,100.0,100.0,SK Trivedi
7,0,12,6,38,0.0,0.0,SK Warne
8,0,11,6,41,66.66666666666666,33.33333333333333,J Botha
9,0,10,6,43,50.0,0.0,SK Warne
10,0,9,6,54,200.0,100.0,J Botha
11,0,8,6,62,133.33333333333331,0.0,SK Warne
12,0,7,6,70,150.0,100.0,SK Trivedi
13,0,6,6,76,100.0,100.0,A Singh
14,0,5,6,89,150.0,350.0,J Botha
15,0,4,6,106,283.33333333333337,0.0,SW Tait
16,0,3,6,112,100.0,100.0,SK Warne
17,0,2,5,123,200.0,0.0,A Singh
18,-1,1,4,139,50.0,280.0,SK Trivedi
19,-1,0,4,151,66.66666666666666,200.0,SW Tait
0,-2,19,10,8,33.33333333333333,100.0,AB Dinda
1,0,18,10,13,33.33333333333333,0.0,M Morkel
2,0,17,9,26,125.0,200.0,AB Dinda
3,-1,16,9,41,200.0,0.0,IK Pathan
4,0,15,9,43,20.0,100.0,M Morkel
5,0,14,9,57,225.0,250.0,RE van der Merwe
6,0,13,9,59,100.0,20.0,S Nadeem
7,0,12,8,66,66.66666666666666,400.0,RE van der Merwe
8,0,11,8,74,140.0,100.0,S Nadeem
9,0,10,8,86,133.33333333333331,266.66666666666663,RE van der Merwe
10,0,9,7,92,120.0,0.0,IK Pathan
11,0,8,7,98,250.0,25.0,AB Dinda
12,0,7,7,109,225.0,100.0,IK Pathan
13,0,6,7,117,150.0,100.0,RE van der Merwe
14,0,5,7,121,33.33333333333333,66.66666666666666,S Nadeem
15,0,4,6,124,0.0,50.0,M Morkel
16,0,3,6,136,166.66666666666669,233.33333333333334,S Nadeem
17,0,2,6,141,100.0,50.0,M Morkel
18,3,1,6,152,100.0,500.0,AB Dinda
0,0,19,8,1,0.0,0.0,WPUJC Vaas
1,0,18,8,6,100.0,0.0,RP Singh
2,0,17,8,14,66.66666666666666,0.0,WPUJC Vaas
3,-1,16,8,22,120.0,50.0,Jaskaran Singh
4,-2,15,7,31,175.0,0.0,RP Singh
5,0,14,6,38,0.0,0.0,Jaskaran Singh
6,0,13,6,46,140.0,100.0,RP Singh
7,0,12,6,49,50.0,0.0,PP Ojha
8,0,11,6,55,100.0,100.0,A Symonds
9,0,10,6,57,20.0,100.0,PP Ojha
10,-1,9,6,61,50.0,0.0,A Symonds
11,0,8,6,71,100.0,180.0,Jaskaran Singh
12,-1,7,6,78,80.0,100.0,A Symonds
13,0,6,6,81,40.0,100.0,PP Ojha
14,0,5,6,92,225.0,50.0,A Symonds
15,0,4,6,103,200.0,166.66666666666669,PP Ojha
16,0,3,6,121,275.0,350.0,WPUJC Vaas
17,-1,2,6,137,266.66666666666663,175.0,TL Suman
